,param_C,param_max_iter,param_penalty,mean_test_score
63,15,1500,l2,0.8234090617997679
47,8,1500,l2,0.8233750440187175
31,3,1500,l2,0.8233605367884707
39,4,1500,l2,0.8233084342347742
55,13,1500,l2,0.8232971653929372
23,2,1500,l2,0.8232641220268282
15,1,1500,l2,0.823225585358862
61,15,1000,l2,0.8231291412184452
53,13,1000,l2,0.8230751712052159
37,4,1000,l2,0.8230618886902654
21,2,1000,l2,0.8230349070528907
29,3,1000,l2,0.8230081671152637
45,8,1000,l2,0.8229342568524816
13,1,1000,l2,0.8229158275121687
19,2,500,l2,0.8219114051661397
51,13,500,l2,0.8218865740065405
11,1,500,l2,0.821849436498079
59,15,500,l2,0.8218155420091057
43,8,500,l2,0.8218116617673287
35,4,500,l2,0.8218065441682482
27,3,500,l2,0.8217976130722467
49,13,100,l2,0.818899341532117
33,4,100,l2,0.8188010654640797
57,15,100,l2,0.8187452101246033
9,1,100,l2,0.8187433183768658
17,2,100,l2,0.8186710346668452
41,8,100,l2,0.8186352916081239
25,3,100,l2,0.8185643075364695
